ZIPCODE,SIDO,GUGUN,DONG,BUNJI,SEQ
135-743,서울,강남구,삼성1동 현대아이파크아파트,,274
135-525,서울,강남구,삼성1동 호텔오크우드,,275
135-866,서울,강남구,삼성1동 홍실아파트,,276
135-869,서울,강남구,삼성1동,52,277
135-865,서울,강남구,삼성1동,53∼56,278
135-870,서울,강남구,삼성1동,57∼75,279
135-871,서울,강남구,삼성1동,76∼78,280
135-866,서울,강남구,삼성1동,79∼80,281
135-871,서울,강남구,삼성1동,81∼92,282
135-872,서울,강남구,삼성1동,93∼103,283
135-873,서울,강남구,삼성1동,104∼110,284
135-878,서울,강남구,삼성1동,145∼153,285
135-879,서울,강남구,삼성1동,154∼156,286
135-880,서울,강남구,삼성1동,157∼158,287
135-881,서울,강남구,삼성1동,160∼166,288
135-882,서울,강남구,삼성1동,167∼171,289
135-091,서울,강남구,삼성1동,,290
135-705,서울,강남구,삼성2동 강남구청,,291
135-527,서울,강남구,삼성2동 대종빌딩,,292
135-507,서울,강남구,삼성2동 래미안삼성2차아파트,(101∼108동),293
135-863,서울,강남구,삼성2동 롯데아파트,,294
135-507,서울,강남구,삼성2동 롯데캐슬프레미어아파트,(101∼111동),295
135-528,서울,강남구,삼성2동 본솔빌딩,,296
135-745,서울,강남구,삼성2동 삼화빌딩,,297
135-508,서울,강남구,삼성2동 상아아파트,,298
135-716,서울,강남구,삼성2동 성원빌딩,,299
135-721,서울,강남구,삼성2동 원방빌딩,,300
135-877,서울,강남구,삼성2동 AID아파트,,301
135-863,서울,강남구,삼성2동,1∼6,302
135-864,서울,강남구,삼성2동,8∼10,303
135-507,서울,강남구,삼성2동,11∼15,304
135-508,서울,강남구,삼성2동,18∼23,305
135-864,서울,강남구,삼성2동,24∼27,306
135-867,서울,강남구,삼성2동,28∼40,307
135-868,서울,강남구,삼성2동,41∼51,308
135-874,서울,강남구,삼성2동,112∼113,309
135-509,서울,강남구,삼성2동,114∼122,310
135-875,서울,강남구,삼성2동,123∼140,311
135-876,서울,강남구,삼성2동,141∼142,312
135-877,서울,강남구,삼성2동,143∼144,313
135-092,서울,강남구,삼성2동,,314
135-090,서울,강남구,삼성동,,315
135-190,서울,강남구,세곡동,,316
135-520,서울,강남구,수서동 까치마을아파트,,317
135-781,서울,강남구,수서동 도시개발아파트,,318
135-886,서울,강남구,수서동 동익아파트,,319
135-744,서울,강남구,수서동 로즈데일오피스텔,,320
135-521,서울,강남구,수서동 삼성아파트,,321
135-884,서울,강남구,수서동 삼익아파트,,322
135-757,서울,강남구,수서동 수서타워,,323
135-539,서울,강남구,수서동 수서현대벤쳐빌,,324
135-782,서울,강남구,수서동 신동아아파트,,325
135-783,서울,강남구,수서동 주공아파트,(101∼114동),326
135-560,서울,강남구,수서동 한신사이룩스동관.서관,,327
135-884,서울,강남구,수서동 한아름아파트,,328
135-883,서울,강남구,수서동,400∼500,329
135-884,서울,강남구,수서동,707∼718,330
135-885,서울,강남구,수서동,721∼730,331
135-886,서울,강남구,수서동,731∼750,332
135-220,서울,강남구,수서동,,333
135-722,서울,강남구,신사동 강남빌딩,,334
135-780,서울,강남구,신사동 도화종합기술공사,,335
135-746,서울,강남구,신사동 두원빌딩,,336
135-747,서울,강남구,신사동 성도빌딩,,337
135-790,서울,강남구,신사동 한국종합기술개발공사,,338
135-887,서울,강남구,신사동,501∼514,339
135-888,서울,강남구,신사동,515∼532,340
135-889,서울,강남구,신사동,533∼546,341
135-890,서울,강남구,신사동,547∼562,342
135-891,서울,강남구,신사동,563∼577,343
135-892,서울,강남구,신사동,578∼587,344
135-893,서울,강남구,신사동,588∼603,345
135-894,서울,강남구,신사동,604∼621,346
135-895,서울,강남구,신사동,622∼634,347
135-896,서울,강남구,신사동,635∼650,348
135-897,서울,강남구,신사동,651∼666,349
135-120,서울,강남구,신사동,,350
135-787,서울,강남구,압구정1동 구현대아파트,(10∼25동),351
135-903,서울,강남구,압구정1동 구현대아파트,(31∼56동),352
135-905,서울,강남구,압구정1동 구현대아파트,(61∼65동),353
135-788,서울,강남구,압구정1동 구현대아파트,(71∼79동),354
135-905,서울,강남구,압구정1동 구현대아파트,(80∼87동),355
135-510,서울,강남구,압구정1동 현대백화점본사,,356
135-789,서울,강남구,압구정1동 현대아파트,(201∼211동),357
135-898,서울,강남구,압구정1동,369∼385,358
135-898,서울,강남구,압구정1동,389∼396,359
135-898,서울,강남구,압구정1동,398∼407,360
135-899,서울,강남구,압구정1동,408∼425,361
135-901,서울,강남구,압구정1동,435∼451,362
135-903,서울,강남구,압구정1동,452∼455,363
135-510,서울,강남구,압구정1동,456,364
135-905,서울,강남구,압구정1동,458∼469,365
135-903,서울,강남구,압구정1동,470∼480,366
135-111,서울,강남구,압구정1동,,367
135-902,서울,강남구,압구정2동 갤러리아백화점,,368
135-904,서울,강남구,압구정2동 구현대아파트,(91∼95동),369
135-794,서울,강남구,압구정2동 한양아파트,(1∼11동),370
135-906,서울,강남구,압구정2동 한양아파트,(21∼26동),371
135-794,서울,강남구,압구정2동 한양아파트,(31∼36동),372
135-904,서울,강남구,압구정2동 한양아파트,(41∼45동),373
135-906,서울,강남구,압구정2동 한양아파트,(51∼81동),374
135-904,서울,강남구,압구정2동,481∼488,375
135-511,서울,강남구,압구정2동,489∼490,376
135-906,서울,강남구,압구정2동,491∼528,377
135-112,서울,강남구,압구정2동,,378
135-785,서울,강남구,압구정동 미성아파트,,379
135-786,서울,강남구,압구정동 신현대아파트,(101∼114동),380
135-976,서울,강남구,압구정동 신현대아파트,(115∼127동),381
135-724,서울,강남구,압구정동 현대백화점본점,,382
135-900,서울,강남구,압구정동,386∼388,383
135-900,서울,강남구,압구정동,397,384
135-900,서울,강남구,압구정동,426∼434,385
135-110,서울,강남구,압구정동,,386
135-984,서울,강남구,역삼1동 강남파이낸스센터,,387
135-706,서울,강남구,역삼1동 공무원연금관리공단,,388
135-703,서울,강남구,역삼1동 과학기술회관,,389
135-707,서울,강남구,역삼1동 남영빌딩,,390
135-564,서울,강남구,역삼1동 두산위브오피스텔,,391
135-934,서울,강남구,역삼1동 메리츠타워,,392
135-709,서울,강남구,역삼1동 빅토리아빌딩,,393
135-979,서울,강남구,역삼1동 삼부빌딩,,394
135-751,서울,강남구,역삼1동 삼성제일빌딩,,395
135-768,서울,강남구,역삼1동 삼일프라자오피스텔,,396
135-711,서울,강남구,역삼1동 삼흥빌딩,,397
135-753,서울,강남구,역삼1동 서초세무서,,398
135-917,서울,강남구,역삼1동 성지하이츠1차빌딩,,399
135-717,서울,강남구,역삼1동 성지하이츠3차빌딩,,400
135-718,서울,강남구,역삼1동 아가방빌딩,,401
135-565,서울,강남구,역삼1동 아남타워빌딩,,402
135-978,서울,강남구,역삼1동 아주빌딩,,403
135-574,서울,강남구,역삼1동 어울림아파트,(101∼103동),404
135-550,서울,강남구,역삼1동 엘아이지타워,,405
135-748,서울,강남구,역삼1동 여삼빌딩,,406
135-753,서울,강남구,역삼1동 역삼빌딩,,407
135-981,서울,강남구,역삼1동 역삼하이츠빌딩,,408
135-750,서울,강남구,역삼1동 우덕빌딩,,409
135-754,서울,강남구,역삼1동 유니온센터오피스텔,,410
135-980,서울,강남구,역삼1동 지식재산센터,,411
135-914,서울,강남구,역삼1동 큰길타워빌딩,,412
135-982,서울,강남구,역삼1동 푸르덴셜타워,,413
135-784,서울,강남구,역삼1동 풍림빌딩,,414
135-752,서울,강남구,역삼1동 한국자산관리공사,,415
135-723,서울,강남구,역삼1동 한국타이어빌딩,,416
135-755,서울,강남구,역삼1동 한독약품빌딩,,417
135-983,서울,강남구,역삼1동 한솔빌딩,,418
135-792,서울,강남구,역삼1동 혜천빌딩,,419
135-985,서울,강남구,역삼1동 GS강남타워,,420
135-977,서울,강남구,역삼1동 ING타워,,421
135-769,서울,강남구,역삼1동 KTB네트워크,,422
135-907,서울,강남구,역삼1동,601∼618,423
135-908,서울,강남구,역삼1동,619∼636,424
135-909,서울,강남구,역삼1동,637∼641,425
135-910,서울,강남구,역삼1동,642∼645,426
135-911,서울,강남구,역삼1동,646∼648,427
135-912,서울,강남구,역삼1동,649,428
135-913,서울,강남구,역삼1동,650∼662,429
135-914,서울,강남구,역삼1동,663∼668,430
135-915,서울,강남구,역삼1동,669∼678,431
135-916,서울,강남구,역삼1동,679∼687,432
135-917,서울,강남구,역삼1동,688∼699,433
135-513,서울,강남구,역삼1동,700∼704,434
135-922,서울,강남구,역삼1동,705,435
135-923,서울,강남구,역삼1동,735,436
135-924,서울,강남구,역삼1동,736∼745,437
135-925,서울,강남구,역삼1동,746∼753,438
135-929,서울,강남구,역삼1동,789∼790,439
135-930,서울,강남구,역삼1동,791∼799,440
135-931,서울,강남구,역삼1동,808∼817,441
135-932,서울,강남구,역삼1동,818∼820,442
135-933,서울,강남구,역삼1동,821∼823,443
135-934,서울,강남구,역삼1동,824∼825,444
135-935,서울,강남구,역삼1동,826∼828,445
135-936,서울,강남구,역삼1동,829∼832,446
135-933,서울,강남구,역삼1동,833,447
135-569,서울,강남구,역삼1동,834∼835,448
135-937,서울,강남구,역삼1동,836∼838,449
135-935,서울,강남구,역삼1동,839,450
135-936,서울,강남구,역삼1동,840,451
135-081,서울,강남구,역삼1동,,452
135-795,서울,강남구,역삼2동 개나리래미안아파트,(101∼107동),453
135-986,서울,강남구,역삼2동 개나리아파트,(37∼42동),454
135-795,서울,강남구,역삼2동 개나리푸르지오아파트,(301∼305동),455
135-756,서울,강남구,역삼2동 계몽사,,456
135-758,서울,강남구,역삼2동 금융결제원,,457
135-759,서울,강남구,역삼2동 나래빌딩,,458
135-541,서울,강남구,역삼2동 대우디오빌,,459
135-760,서울,강남구,역삼2동 동우빌딩,,460
135-795,서울,강남구,역삼2동 래미안펜타빌아파트,(101∼105동),461
135-919,서울,강남구,역삼2동 세방빌딩,,462
135-719,서울,강남구,역삼2동 아세아타워빌딩,,463
135-987,서울,강남구,역삼2동 엘지데이콤빌딩,,464
135-796,서울,강남구,역삼2동 역삼래미안아파트,(101∼112동),465
135-795,서울,강남구,역삼2동 역삼아이파크아파트,(201∼207동),466
135-796,서울,강남구,역삼2동 역삼푸르지오아파트,(101∼111동),467
135-926,서울,강남구,역삼2동 역삼e-편한세상아파트,(101∼112동),468
135-918,서울,강남구,역삼2동 일옥빌딩,,469
135-512,서울,강남구,역삼2동 진달래아파트,(10∼17동),470
135-918,서울,강남구,역삼2동 한신인터밸리24빌딩,,471
135-540,서울,강남구,역삼2동 현대까르띠에710아파트,(101∼103동),472
135-918,서울,강남구,역삼2동,706∼707,473
135-919,서울,강남구,역삼2동,708∼716,474
135-920,서울,강남구,역삼2동,717∼724,475
135-921,서울,강남구,역삼2동,725∼730,476
135-514,서울,강남구,역삼2동,731∼734,477
135-926,서울,강남구,역삼2동,754∼755,478
135-927,서울,강남구,역삼2동,756∼768,479
135-928,서울,강남구,역삼2동,769∼779,480
135-515,서울,강남구,역삼2동,780∼788,481
135-082,서울,강남구,역삼2동,,482
135-080,서울,강남구,역삼동,,483
135-210,서울,강남구,율현동,,484
135-938,서울,강남구,일원1동 도시개발아파트,,485
135-938,서울,강남구,일원1동,4,486
135-938,서울,강남구,일원1동,362,487
135-943,서울,강남구,일원1동,580∼610,488
135-943,서울,강남구,일원1동,617∼641,489
135-945,서울,강남구,일원1동,642∼676,490
135-516,서울,강남구,일원1동,677∼687,491
135-938,서울,강남구,일원1동,711∼712,492
135-231,서울,강남구,일원1동,,493
135-944,서울,강남구,일원2동 대우아파트,,494
135-946,서울,강남구,일원2동 우성7차아파트,,495
135-946,서울,강남구,일원2동 한신아파트,,496
135-944,서울,강남구,일원2동 현대4차아파트,(1동),497
135-946,서울,강남구,일원2동 현대아파트,(10∼33동),498
135-944,서울,강남구,일원2동,614∼616,499
135-946,서울,강남구,일원2동,689∼692,500
135-232,서울,강남구,일원2동,,501
135-947,서울,강남구,일원본동 가람아파트,,502
135-991,서울,강남구,일원본동 목련타운아파트,,503
135-947,서울,강남구,일원본동 상록수아파트,,504
135-990,서울,강남구,일원본동 샘터마을아파트,,505
135-941,서울,강남구,일원본동 청솔빌리지아파트,,506
135-942,서울,강남구,일원본동 푸른마을아파트,,507
135-942,서울,강남구,일원본동 한솔마을아파트,,508
135-941,서울,강남구,일원본동,63,509
135-942,서울,강남구,일원본동,214,510
135-942,서울,강남구,일원본동,424∼443,511
135-942,서울,강남구,일원본동,713∼714,512
135-947,서울,강남구,일원본동,715∼717,513
135-942,서울,강남구,일원본동,718∼729,514
135-947,서울,강남구,일원본동,734∼735,515
135-239,서울,강남구,일원본동,,516
135-967,서울,강남구,일원동 공무원아파트,,517
135-710,서울,강남구,일원동 삼성의료원,,518
135-230,서울,강남구,일원동,,519
135-200,서울,강남구,자곡동,,520
135-762,서울,강남구,청담1동 모나미빌딩,,521
135-765,서울,강남구,청담1동 세신빌딩,,522
135-763,서울,강남구,청담1동 은성빌딩,,523
135-761,서울,강남구,청담1동 정화빌딩,,524
135-764,서울,강남구,청담1동 청담빌딩,,525
135-952,서울,강남구,청담1동,48∼61,526
135-953,서울,강남구,청담1동,62∼76,527
135-956,서울,강남구,청담1동,100∼106,528
135-955,서울,강남구,청담1동,107∼123,529
135-957,서울,강남구,청담1동,124∼132,530
135-958,서울,강남구,청담1동,133∼134,531
135-959,서울,강남구,청담1동,135∼143,532
135-101,서울,강남구,청담1동,,533
135-766,서울,강남구,청담2동 금하빌딩,,534
135-767,서울,강남구,청담2동 오미빌딩,,535
135-948,서울,강남구,청담2동,1∼5,536
135-949,서울,강남구,청담2동,6∼19,537
135-950,서울,강남구,청담2동,20∼35,538
135-951,서울,강남구,청담2동,36∼47,539
